user_pseudo_id,days_of_browsing,t_clickcategory,t_viewcourse,t_search,t_sortfilter,t_viewteacher,t_clickbuy,t_clickproceed
1935485655.1647508525,11,3,48,5,2,,1,2
2070610775.1644897337,1,,7,,,,1,
65620095.1642000760,8,12,63,2,,,1,
5dc9da4e5962b41faaf647ba,9,6,32,7,,,3,
61a988144b6eef004fc736a8,6,4,24,3,,,1,
838334266.1648438138,4,9,26,,1,1,1,
1039665405.1644916038,12,20,233,13,15,3,2,
1261555256.1652527630,8,,28,,,,2,3
25896412.1646103306,12,3,63,2,,2,2,2
5a0869651ee76e1a96002499,5,2,16,1,1,3,2,
1293753485.1621753806,19,4,82,,,,1,1
578375839a31144ecf000a6c,40,15,98,5,9,,1,
57d2351ae7e9dd100700001f,2,3,7,1,,1,2,2
1070772537.1645503144,2,2,22,,,,1,1
513902216.1652005677,19,7,91,,,,2,
5d764fa097b2787cc764747c,14,60,64,,29,2,4,5
c679f86f-1260-400a-b5fc-4020ea99f7f6,13,124,100,1,,,1,
180816765.1605063472,10,7,58,,,,1,
1141790905.1642737532,3,3,75,1,,,3,1
1833915602.1638436008,9,,170,7,,,1,
270049797.1612449170,6,15,76,3,2,1,2,1
584b587e9a311421440002a3,6,3,14,,,,1,
816576021.1639448266,27,,143,9,,,1,
405712294.1642222044,5,,9,,,,6,
57cccf30e7e9dd06f700017f,11,4,44,,,,3,
729600385.1645629718,7,26,31,4,,,2,
801383370.1643016690,25,26,195,4,1,,1,1
577ccface7e9dd7c2400122f,5,1,33,4,,,1,3
1151673007.1652775227,7,,12,1,,,1,
1340432118.1651755604,11,1,54,1,,,1,1
5ad442141ee76e1021000051,60,19,137,3,6,,2,
5d8e14f55962b43a7c0a5303,2,1,6,3,,,2,2
a1998e5e-93eb-4425-8045-1e2a657ce2a9,1,,3,,,,1,
1239050636.1637512616,2,9,45,2,2,,1,1
1597854306.1651757255,1,1,3,,,,1,
2134917392.1644206122,6,1,29,,,,1,1
929621460.1644991306,1,,10,,,,1,
1835768212.1646038130,2,3,19,2,1,,1,
5a24ca8a1ee76e199c002faa,3,5,8,,3,,1,
1888656457.1644245882,4,,65,1,,,5,
35376679.1645432183,4,2,13,,,,1,
998154405.1647825472,1,3,5,,,,1,
b3a5909d-2e3e-4a39-84c4-c6a61ac0d40c,9,1,66,,,,4,
5a91716b0e1266132e000549,7,55,60,9,2,,2,3
1047483299.1633442847,11,,115,9,,,1,
1853312764.1651999926,5,27,40,,4,1,1,1
2065415742.1565234388,8,,31,4,,3,3,2
5b5eda529f7bfc4701001d7f,2,5,14,1,,1,1,
5dc5c2e8ce4b144b2bcc10e8,9,9,23,14,3,,2,
704839794.1620710183,41,7,153,6,,,2,2
1477571335.1629106343,22,21,390,9,,5,2,3
1779499422.1646112163,3,,35,1,,5,1,1
1625822531.1651760337,2,3,4,,,,26,
2056f137-3078-4c4d-9834-d599404c230d,17,5,93,14,,,1,1
1376844765.1648171679,35,9,171,10,,5,2,2
1553950541.1637899529,16,1,69,13,,,2,1
2004173807.1644833354,13,,42,,,,1,1
891075445.1642929542,1,,5,,,,1,
2104501041.1641460830,2,5,30,2,,,2,1
5d63f3445962b418bde7a060,9,10,34,,,,1,1
b1c58854-2868-4b0c-a5cc-d07089929fe1,4,,6,,,,1,
24408297.1648613646,12,1,51,1,,,2,
436828538.1640427654,5,6,28,2,,,1,
5e60b1e4cb5acb31d777086c,3,15,20,2,1,,1,1
559547211.1644282277,21,5,133,,,,1,1
1206139604.1635841402,40,15,316,12,,2,2,1
1892135561.1642440066,2,5,104,,19,,1,1
1949246873.1629365337,13,16,81,3,1,,1,
2035711679.1637639721,8,1,21,2,,,1,1
758249229.1648777805,22,8,150,1,,,1,
1811968679.1647535934,10,16,56,,,5,1,
1940708996.1653281894,1,1,4,1,,,1,2
865486548.1642035206,2,,24,2,1,,1,1
875574667.1649859785,7,1,18,,,,1,
1466157020.1641898761,1,,7,,,,2,
1617386299.1645696424,27,24,97,11,,2,1,
174073784.1650262339,2,,6,,,,1,
2029847929.1641923428,1,,3,,,,1,
859104490.1634360277,2,1,4,,,,1,1
1794905166.1641018306,1,,,,,,1,
5a0fba5d1ee76e126f00106e,20,2,115,,,2,3,
681796901.1650358951,9,,29,,,,2,2
1126769969.1643186988,30,17,242,5,,,2,4
1363549714.1644551966,3,,33,1,,,1,
693194300.1643308743,5,,166,11,,,3,4
918c6571-38a2-486e-9502-bf163ca4131b,1,1,3,,,,1,
ba31e241-052b-4bac-ac22-90e083df3f81,3,13,14,1,2,,5,9
1503568504.1648131538,5,6,40,5,3,3,2,
16e07f83-3c7d-4249-adc8-6eeb12b9a810,8,7,22,1,3,,1,1
5e834137cb5acb2c03f78205,3,,4,1,,,2,2
1026567904.1604022957,1,,15,3,,,2,2
1454288028.1626223800,3,3,15,4,,,1,
484512701.1644822311,15,2,98,,1,,1,2
1129945891.1644045977,38,,291,,,,1,
1599933231.1647674804,25,21,132,1,10,,1,2
469425226.1642070164,1,,3,,,,4,
75185639.1644574464,2,9,41,,,,2,1
2025276602.1636963410,5,2,23,,,,1,
476548552.1642168562,15,16,93,2,,,2,3
446456023.1636439535,21,39,576,27,4,,2,2
608500050.1631714865,40,2,341,23,,,3,3
132947683.1646706048,1,,2,,,,1,
658338813.1648622857,23,7,116,2,,,2,
1328063802.1636444063,8,1,28,2,,,2,2
601168004.1649382187,1,,6,,,,2,
5f68a94297b2783a2589eeec,7,1,34,18,,1,1,
613dae0d78214600160a0d5c,9,1,33,,1,,1,
719419914.1644989270,7,1,18,,,,1,
320959388.1642261878,4,4,20,,,,1,1
1287307136.1617933469,14,,56,,,,3,2
58ba811e6029b31fb5000221,12,,32,,,,1,
5e6b6adf5962b469c1f62c9b,4,1,25,,,,2,3
282625742.1644577027,1,,32,2,,,1,
338384233.1641560682,3,,7,,,,6,
398527963.1600793532,6,2,60,3,,,1,1
